"month","country","generation"
3,"MWI",167.3
3,"MYS",335.4
3,"NAM",63
3,"NGA",156.2
3,"NIC",122.1
3,"NLD",38.2
3,"NOR",15323.9
3,"NPL",702.1
3,"NZL",1429.1
3,"PAK",541.5
3,"PAN",429.2
3,"PER",951
3,"PHL",504.1
3,"PNG",239.4
3,"POL",9.9
3,"PRK",452.5
3,"PRT",2381.9
3,"PRY",301.8
3,"ROU",398.5
3,"RUS",4027.4
3,"RUS-CE",59.8
3,"RUS-FE",52.1
3,"RUS-MV",36.4
3,"RUS-NW",14.7
3,"RUS-SI",44.9
3,"RUS-SO",49.4
3,"RUS-UR",49.4
3,"RWA",226
3,"SDN",344.6
3,"SEN",31.6
3,"SLE",14.5
3,"SLV",236.1
3,"SRB",189.4
3,"SVK",325.7
3,"SVN",208.8
3,"SWE",9162.6
3,"SWZ",174.4
3,"SYR",10.5
3,"TGO",16.1
3,"THA",175.9
3,"TJK",521.8
3,"TUN",145.7
3,"TUR",741.1
3,"TWN",225.6
3,"TZA",215.6
3,"UGA",343
3,"UKR",54.9
3,"URY",247.2
3,"USA",46952.5
3,"UZB",523
3,"VEN",549
3,"VNM",7116
3,"ZAF",63.8
3,"ZMB",447.3
3,"ZWE",156.9
4,"AFG",214.4
4,"AGO",362.1
4,"ALB",284.7
4,"ARG",2094.5
4,"ARM",90.5
4,"AUS",1196.1
4,"AUT",4207.4
4,"AZE",106.4
4,"BDI",211.7
4,"BEL",10.6
4,"BFA",73.1
4,"BGD",30.4
4,"BGR",309.8
4,"BIH",468.8
4,"BLR",41.4
4,"BOL",856.6
4,"BRA",32582.9
4,"BTN",370.4
4,"CAF",66.8
4,"CAN",32796.9
4,"CHE",5661.4
4,"CHL",3968.1
4,"CHN",43410.9
4,"CHN-AN",38.7
4,"CHN-BE",69.3
4,"CHN-CH",58.1
4,"CHN-FU",56.6
4,"CHN-GA",25.4
4,"CHN-GD",36.9
4,"CHN-GU",63.7
4,"CHN-GX",67.2
4,"CHN-HA",36.7
4,"CHN-HB",75.8
4,"CHN-HE",9.6
4,"CHN-HJ",58.1
4,"CHN-HN",69.3
4,"CHN-HU",75.1
4,"CHN-JI",62.9
4,"CHN-JS",17.8
4,"CHN-JX",54.1
4,"CHN-LI",33.7
4,"CHN-NI",39.3
4,"CHN-QI",54.1
4,"CHN-SC",22.8
4,"CHN-SD",67
4,"CHN-SI",12.7
4,"CHN-SX",54.1
4,"CHN-TI",75.8
4,"CHN-WM",43.8
4,"CHN-XI",39
4,"CHN-YU",61.8
4,"CHN-ZH",54.1
4,"CIV",120.6
4,"CMR",286.1
4,"COD",677.6
4,"COG",243.7
4,"COL",693.5
4,"CRI",1138
4,"CUB",7
4,"CZE",60
4,"DEU",1875.8
4,"DOM",78.2
4,"DZA",9.3
4,"ECU",660.7
4,"EGY",254.1
4,"ESP",2363.8
4,"ETH",571.8
4,"FIN",6207.8
4,"FJI",120.7
4,"FRA",13630.1
4,"GAB",138.4
4,"GBR",1174
4,"GEO",843.2
4,"GHA",110.1
4,"GIN",184.2
4,"GNQ",26.2
4,"GRC",409
4,"GTM",1543.8
4,"GUF",68.8
4,"HND",558.8
4,"HRV",757.9
4,"HUN",70.2
4,"IDN",973
4,"IND",7719.8
4,"IND-EA",37.2
4,"IND-NE",26.6
4,"IND-NO",33.9
4,"IND-SO",16.4
4,"IND-WE",33.9
