,1,2,3,4,5,6,7,8,9,10,11,12
TGO,16.1,16.1,16.1,11.5,8.4,7.9,7,6.3,5.9,5.8,11.5,16.1
THA,127.9,143.4,175.9,159,137.6,120.4,98.8,83.7,97,115.3,142.2,138.1
TJK,464.6,481,521.8,491.5,422.7,478.6,445.5,454.5,476.5,451.9,464.3,486.3
TKM,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0
TUN,79.2,104.2,145.7,135.4,132.4,132.6,108,120.3,102.5,91.4,86.5,75
TUR,645.5,662.8,741.1,713.6,740.4,719.2,626.3,625.8,679.4,716.7,751.9,722.8
TWN,147.1,181.2,225.6,216,220.3,232.1,197.9,211.9,217.9,235.1,157.4,144.9
TZA,217.5,227.9,215.6,236,293,352.7,341.5,339.2,311.3,341.7,275.7,223.8
UGA,318.9,322.1,343,354.7,401.5,422.2,408.3,398.9,386,421.4,386.4,349.7
UKR,42,43.9,54.9,53.1,59.2,80.8,75.8,79.6,86.5,68.1,55.8,42.3
URY,272.1,283.4,247.2,239.6,215.6,193.2,175.5,174.5,187.1,215.6,283,289.3
USA,39436.4,41541.7,46952.5,46378.8,47324.6,47236,41656,39883.7,42830,44379.5,44781.7,42654.5
UZB,486.1,510,523,514.1,517.6,508.8,489.9,473.4,481.1,505.3,502.3,491.5
VEN,534.6,536.4,549,523,566.6,590.7,570.2,559.5,557.6,552.4,571.8,550.5
VNM,6708.7,6903.7,7116,6857.4,6870.3,6848.7,6348,6007.1,6418.5,7163.4,7549.1,7080.3
YEM,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,57.9,58.6,63.8,51.4,60.7,70.3,69.3,70.3,72.7,72.5,57,56.6
ZMB,455.1,457.3,447.3,399.2,366.3,343.5,315.7,303.6,327.8,360.6,419.7,443.4
ZWE,123.4,142.3,156.9,160,160,160,142.9,133,128.6,126.5,126,122.3
