,1,2,3,4,5,6,7,8,9,10,11,12
TUR,19168.9,18212.6,24440.3,29293,30291.7,28129.8,31766.1,30975.4,28575.7,23182.3,24313.4,23450.3
TWN,7529.8,7668.6,8605.4,10049.8,9013.1,9731.5,9810.3,8577.9,9169,9052.7,7768.4,6979.8
TZA,13270.5,12496.3,14918.9,14151,15451.3,15458.2,16568.9,17290.2,16778.6,15972.6,14427.5,13524.2
UGA,14692.1,12251.3,13390.1,10317.5,10856,10934.7,12214.7,13531,12461.7,11344.8,10800,12661.8
UKR,3785.1,6951.2,9431.5,10615.7,12205.7,12184,13069.4,13118,10598.5,9280.2,4322.1,3470.9
URY,97993.1,90849.3,104284.7,90847.2,73336.1,71954,71838.2,64579.2,93266.3,95622.5,98388.5,98091.7
USA,24449274.6,27282023.8,32226635.7,33807082.7,35863094.8,33078271.1,34342892.3,34560661,30654014.7,29465284.8,25561699,20658875.5
UZB,7967.4,8087,11887.2,12399.6,13157.6,13483.1,13685.5,14208.6,13408.2,10519.3,7491,6486.5
VEN,11643.9,10358.2,11726.2,10202.9,10133.5,9442.8,9646.3,9520.2,9602.2,9232,9315.8,10534.8
VNM,9042.7,9270.5,10349.8,10026.8,8362.6,6945,7223.2,7232.5,6977.1,8065.6,8076.6,8428.3
YEM,17578,16597.4,17541.9,17100.4,15664.8,14004,14898.7,15496.4,15619.8,17174.4,15656.7,16311.8
ZAF,656235.3,625100.8,631780.9,576079.1,547565.4,491505.8,503211.9,557275,591126,669254.5,673505.7,645352.5
ZMB,9985.5,9604.3,12379.1,12029.7,13748.1,12827.8,13379.4,13808.9,13000.2,12963.3,11367,10086.7
ZWE,12914.7,11560,13765.5,11920,13549.1,12610.6,13095.8,13812.2,13189.6,14113.9,12523.1,12507
