country,1,2,3,4,5,6,7,8,9,10,11,12
SGP,14302.6,13832.1,6037.3,2492.8,3144.1,4890.8,7317.2,6852.2,5294.9,3896.8,1508.9,7896
SLE,5890.7,3290.9,4564.1,3793.4,2784.6,4871.7,8171.2,10840.5,7352.3,3034,3515.3,11880.6
SLV,24084.3,13991.9,10678.9,4494.7,2657,5870.5,5255.1,3287,1336.7,2165.5,5797.4,10918.2
SRB,16878.2,12203.8,15239.5,15081.6,10640.1,9658.8,7967.8,7918.6,9228.6,12627.6,12017.8,6711.1
SVK,17911.6,7448.3,7544.9,10080.2,6283.6,5823.8,6545.8,6142.1,5140.5,8877.5,7938.1,13908.2
SVN,11602.2,27530.4,13089.3,6449.2,3167.7,4484.5,5720.3,3860.1,7868.6,10181.5,10118.5,7798.9
SWE,313295.6,294105.7,287534.2,296374.4,273182.7,246448.2,231701.2,218475.4,250927.3,246106.4,278955.5,371127.5
SWZ,7812.6,7766.6,6778.2,6095.6,10665.3,11514.5,12332,10584,12932.4,13887.2,15615.3,9818.8
SYR,15111.4,14200.9,16021.6,15973.8,15774.6,18484,19243.8,15412.3,8955.3,7181.5,10093.8,11102.7
TGO,15389.1,8329.8,9159.9,7094.9,9021.2,8058.9,7326.7,6463.3,4935.5,3562.2,6334.6,18115.5
THA,42741.2,30082.8,26788.7,28587.4,34925.9,40056.5,59384.7,37127.1,23984.4,20932.2,29984.1,46111.3
TJK,8305.7,7438.1,8833,6637.2,4850.4,4433.7,6085.4,5677.7,5206.5,6380.1,8465.9,8346.7
TKM,15103.9,14369,15865.4,16014.8,15191.2,16888.4,21364.8,17679,14339.1,15003.6,16372.9,16468.9
TTO,28030.4,25885.2,29176.5,31814.5,34222.9,32239.9,25248.9,17020.7,16233,16780.7,22355.6,33405.3
TUN,65243.3,61520.6,71966.9,48121.9,50563.7,39758,30169,29478.3,41707.6,44369.8,53496.3,23600.9
TUR,260928.9,273690.7,165908.5,177395.3,134767.3,149880.1,217689.7,221275.2,151283.8,208776.2,191650.5,175676.1
TWN,210153.4,110985.9,123460.8,122662.1,126334.2,129383.7,167372.1,199770.4,117579.4,217319.5,146562.5,228191.5
TZA,7302.4,4514.3,8281.6,6672.7,12431.2,11721.9,14450.9,15715.7,13636.2,12068.7,7965.4,4895.1
UGA,9603.5,8215.1,12155,4026.2,3730.8,2376.4,4914.2,4387.2,4542.6,4876.7,3629.8,5470.7
UKR,29426.7,18246.9,26492.2,26068.5,18342.2,14505.9,16104.6,14997.2,20846.3,18438.6,22853.3,27967.1
URY,727674.2,617114,634778.9,698549.9,700443.4,920082.2,709040.1,1071745,911955.6,1030228.8,870740.3,748452.6
USA,24768103.2,22232824.1,24116364.7,26370501.3,23942996.8,18404214.5,18028911.6,18186198.9,19624256.1,23642693.5,27615552.9,27386960
UZB,11872.7,13010.6,15007.3,16434.4,13985.4,15653.7,14519.4,13246.7,13789.2,12997.2,13472.1,18216.4
VEN,20462.9,18446.9,24272.4,15607,17814.4,15332.6,13404.4,9003.3,7221.2,6714.7,10619.1,17704.9
VNM,99870.7,74087.8,65887.5,50516.8,30424.7,52352.6,69468.5,63060.2,43657.2,38631.6,76893.3,107022.4
YEM,12484,13548.7,15213.8,11372.2,8962.1,13083.3,16273.8,12727.4,8534.9,12013.1,13706.1,13684.5
ZAF,455300.7,430105.9,434385.7,398915,433683.3,523914.7,546138.3,514551.6,529209.2,478490.7,542869.2,468016.9
ZMB,10552,6097.5,11522.3,11144.4,17604.5,17242,19758.9,25096.9,23536,19884,12504.9,5981.2
ZWE,11474.6,7650.8,13139.4,9391.8,12608.9,13027.9,14647.6,17409.4,21102.4,22762.9,18466.3,10718.3
